tractID,ARSON,ASSAULT,BATTERY,BURGLARY,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,total
17031300600,1,21,56,20,0,51,10,4,1,0,0,1,0,0,21,19,0,3,0,26,0,0,10,19,6,0,48,2,319
17031030104,0,4,26,4,0,10,1,5,0,0,0,0,0,0,6,5,0,1,0,7,0,0,1,4,0,0,33,0,107
17031040100,0,10,35,15,1,53,6,9,0,0,0,0,0,3,13,15,0,0,0,23,0,0,6,3,0,0,59,2,253
17031260400,0,30,113,19,3,37,6,4,1,1,0,0,0,0,23,153,0,3,0,24,68,0,3,23,1,0,52,5,569
17031030101,0,19,58,13,1,28,13,11,0,0,2,0,0,1,3,30,0,1,0,23,0,0,5,13,0,0,117,3,341
17031071600,0,4,7,7,0,11,1,3,0,0,0,0,1,0,4,0,0,0,0,2,0,0,0,3,2,0,44,0,89
17031030103,1,7,11,0,0,12,7,5,0,0,0,0,0,0,3,3,0,1,0,8,0,0,1,5,5,0,19,0,88
17031030102,0,14,29,16,0,18,8,7,0,2,1,0,0,0,4,13,0,1,0,18,0,0,1,9,2,1,51,0,195
17031081401,0,20,39,3,5,13,28,60,0,0,0,0,0,0,13,10,0,0,0,18,18,0,3,13,3,1,258,2,507
17031740100,0,16,23,13,0,30,6,16,0,0,0,1,3,1,0,14,0,10,0,18,0,0,1,0,0,0,60,1,213
17031081403,0,12,39,12,1,34,20,56,0,0,0,3,0,3,6,8,0,0,0,19,26,0,6,17,0,0,294,1,557
17031670500,0,27,101,51,0,55,6,6,5,1,2,0,0,0,29,47,0,4,0,17,2,0,4,19,0,0,89,4,469
17031461000,0,30,59,24,0,56,12,21,0,1,0,1,0,2,19,32,1,0,0,28,2,0,3,30,1,0,146,0,468
17031834300,3,73,199,131,6,138,10,49,1,3,1,0,1,0,58,41,1,9,0,58,0,1,5,62,3,0,241,11,1105
17031611400,1,37,80,32,0,44,5,5,0,1,2,0,0,1,40,54,0,4,0,28,4,0,2,15,2,0,59,9,425
17031842300,1,15,77,18,1,114,10,25,0,0,0,0,1,0,48,15,0,0,0,29,1,0,1,10,2,1,413,1,783
17031050100,0,1,14,6,2,20,2,6,0,0,0,0,0,0,5,4,0,1,0,5,0,0,0,4,0,0,55,0,125
17031710500,1,83,198,103,9,75,35,23,0,1,2,0,0,0,27,141,0,7,0,65,1,0,8,58,1,0,148,17,1003
17031160200,1,8,35,16,1,36,3,7,0,0,0,0,1,0,26,8,0,4,0,22,0,0,2,6,3,0,59,0,238
17031243200,0,14,47,17,0,29,2,5,1,2,0,0,0,2,8,5,0,0,0,16,0,0,0,5,0,0,91,1,245
17031831400,0,56,151,39,10,70,18,22,0,2,1,1,0,3,57,247,0,6,0,54,49,0,10,48,2,0,133,18,997
17031231100,0,19,47,12,2,17,4,6,2,1,1,0,1,0,11,47,0,0,0,12,0,0,1,18,1,0,30,2,234
17031430500,1,67,213,79,5,111,31,34,0,2,6,0,0,1,35,114,0,4,0,93,0,0,5,47,3,0,139,15,1005
17031071200,0,9,70,13,0,49,7,13,0,0,2,0,1,5,10,18,0,2,0,18,1,0,3,17,3,0,160,0,401
17031660800,0,106,232,115,6,134,30,15,6,1,1,2,1,1,84,172,1,5,0,79,8,0,12,70,1,0,140,15,1237
17031081402,0,9,29,1,1,10,8,22,0,0,0,0,0,1,6,9,0,0,0,10,0,0,3,1,1,1,144,1,257
17031720100,0,16,24,19,1,21,11,27,0,0,0,0,2,0,5,3,0,2,0,11,0,0,1,5,0,1,106,1,256
17031380500,0,15,28,7,1,17,3,0,0,0,0,0,1,0,4,4,0,0,0,5,0,0,0,4,0,0,26,2,117
17031350400,0,14,37,1,1,9,14,0,0,0,0,0,0,0,6,7,0,2,0,5,1,0,0,2,0,0,15,0,114
17031260700,3,44,178,33,2,56,17,18,6,3,1,0,0,0,27,236,0,5,0,34,0,0,4,60,2,1,133,16,879
17031570500,0,9,32,13,0,27,1,11,0,0,0,0,2,1,21,12,0,4,0,9,0,0,1,17,0,0,45,0,205
17031750300,0,3,14,9,0,23,5,20,0,0,0,0,0,1,1,5,0,2,0,7,0,0,1,0,0,1,46,1,139
17031671200,1,35,152,18,2,58,10,1,5,2,2,1,0,0,13,88,0,3,0,19,0,0,7,31,2,0,93,18,561
17031834000,0,57,178,56,3,91,22,30,1,0,4,1,1,0,56,122,0,9,0,49,0,0,7,50,5,1,92,5,840
17031840100,0,11,15,20,0,24,3,2,0,0,0,0,0,0,4,6,0,0,0,8,1,0,1,3,0,0,29,1,128
17031560300,0,9,25,26,1,41,4,7,0,0,1,0,1,1,20,24,0,1,0,7,39,0,3,7,0,0,25,3,245
17031710800,2,83,256,69,3,98,48,29,2,3,3,1,5,0,40,207,0,13,0,91,8,0,19,68,4,0,187,23,1262
17031020100,0,15,38,19,1,41,2,11,0,0,2,0,0,0,11,21,0,2,0,21,0,0,0,7,2,1,59,0,253
17031062600,0,3,10,13,1,17,6,21,0,0,1,0,0,0,5,0,0,0,0,2,0,0,0,3,3,0,78,0,163
17031843000,3,79,210,66,4,92,28,11,11,1,4,2,1,2,59,489,0,1,0,48,2,0,5,48,3,1,196,11,1377
