tractID,ARSON,ASSAULT,BATTERY,BURGLARY,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,total
17031611300,1,27,103,47,1,56,9,9,0,0,9,0,0,1,61,51,0,4,0,31,33,0,6,40,3,0,64,6,562
17031221000,1,18,66,38,0,20,6,7,0,0,0,0,0,2,17,23,0,2,0,21,0,0,4,8,2,0,37,2,274
17031161100,0,25,42,22,3,21,8,4,0,0,1,0,0,0,18,18,0,0,0,12,0,0,23,1,1,0,46,3,248
17031080202,0,11,63,4,0,20,5,40,0,0,1,0,0,1,10,23,0,0,0,9,7,0,4,21,2,1,140,1,363
17031411100,0,2,7,5,0,11,4,5,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,14,0,0,26,0,79
17031610400,1,15,62,11,1,15,8,4,0,1,4,0,0,2,21,49,0,1,0,10,25,0,6,7,1,0,23,7,274
17031140100,0,9,38,11,2,21,3,7,0,1,1,1,0,0,12,19,0,1,0,15,0,0,0,4,0,0,31,5,181
17031222600,1,5,15,27,1,14,3,0,0,0,0,0,0,0,6,4,0,2,0,12,0,0,1,5,0,0,28,3,127
17031030603,0,7,54,8,2,16,6,9,0,1,0,0,0,0,10,15,0,0,0,10,0,0,2,11,1,0,45,1,198
17031071100,0,5,39,38,1,40,6,29,0,0,0,0,0,2,17,4,0,1,0,5,0,0,2,19,6,0,183,0,397
17031030601,0,7,56,8,2,24,8,8,0,2,0,0,0,0,9,19,0,1,0,23,0,0,1,10,1,1,43,3,226
17031030604,0,11,38,6,0,6,3,13,0,0,0,0,0,0,2,13,0,0,0,17,0,0,0,4,1,0,34,0,148
17031700301,0,19,50,24,2,43,6,17,0,0,1,0,1,0,12,17,0,5,0,22,0,0,5,8,1,0,57,1,291
17031700302,0,9,33,28,3,54,7,12,0,0,2,0,0,1,12,15,0,1,0,23,1,0,6,12,0,0,63,2,284
17031130300,0,19,29,52,0,65,5,3,0,1,0,0,0,1,20,8,1,3,0,19,0,0,0,7,2,2,59,3,299
17031530400,0,29,63,33,1,48,3,16,0,0,1,0,0,1,19,31,0,5,0,18,0,0,0,18,1,0,65,7,359
