,mae,rmse,mre
kmeans,1.1705468807356665,2.0433541053865327,0.006633249580710805
agglomerative,0.5095448949798222,0.6836344052196305,2.7755575615628914e-17
spectral,1.3595002758366768,1.662693297033461,0.0060000000000000045
