,mae,rmse,mre
kmeans,1.7562414412602843,3.522773907022704,0.0069999999999999975
agglomerative,1.4893035284991438,2.8278337999253096,0.0050000000000000044
spectral,1.1182057055837271,1.2893909414913693,0.00489897948556636
